Hostname                                  Interface     Status   Description                             Optics              Serial
BORM-IPB-P-RT-02_a.txt                    |xe-3/1/0      |Up       |SNSU-IPB_P-RT-04-xe-9/1/2_B11X01261     |SFP+-10G-LR         |AV60WL5
BORM-IPB-P-RT-02_a.txt                    |xe-3/1/1      |Up       |BORM-IPB_PE-RT-03-Te0/4/0/6             |SFP+-10G-SR         |MVJ1477
BORM-IPB-P-RT-02_a.txt                    |xe-3/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/4/0/6             |SFP+-10G-SR         |MVJ15VA
BORM-IPB-P-RT-02_a.txt                    |xe-3/1/3      |Up       |BORM-IPB_PE-RT-03-Te0/5/0/18            |SFP+-10G-SR         |ARG1DPX
BORM-IPB-P-RT-02_a.txt                    |xe-3/2/0      |Up       |SNSU-IPB_P-RT-01-xe-9/0/1_B24X05621     |SFP+-10G-LR         |AV90HFL
BORM-IPB-P-RT-02_a.txt                    |xe-3/2/1      |Up       |SNSU-IPB_P-RT-02-xe-4/2/1_B24X05623     |SFP+-10G-LR         |AV90NS9
BORM-IPB-P-RT-02_a.txt                    |xe-3/2/2      |Up       |SNSU-IPB_P-RT-03-xe-4/3/2_B24X05625     |SFP+-10G-LR         |AV90NA2
BORM-IPB-P-RT-02_a.txt                    |xe-3/2/3      |Up       |SNSU-IPB_P-RT-04-xe-1/3/3               |SFP+-10G-LR         |AD1825501YL
BORM-IPB-P-RT-02_a.txt                    |xe-3/3/0      |Up       |SNSU-IPB_P-RT-04-xe-4/3/0_B24X05627     |SFP+-10G-LR         |AV90H1V
BORM-IPB-P-RT-02_a.txt                    |xe-3/3/1      |Up       |SNSU-IPB_P-RT-01-xe-9/2/2               |SFP+-10G-LR         |45T012402970
BORM-IPB-P-RT-02_a.txt                    |xe-3/3/2      |Up       |SNSU-IPB_P-RT-02-xe-10/0/2              |SFP+-10G-LR         |APS0ND1
BORM-IPB-P-RT-02_a.txt                    |xe-3/3/3      |Up       |BORM-IPB_CORE-RT-01-10GE7/0/22          |SFP+-10G-LR         |AD18295000K
BORM-IPB-P-RT-02_a.txt                    |xe-4/0/0      |Up       |SNSU-IPB_P-RT-03-xe-5/0/0_B11X00943     |SFP+-10G-LR         |45T012404606
BORM-IPB-P-RT-02_a.txt                    |xe-4/0/1      |Up       |SNSU-IPB_P-RT-01-Xe-5/0/1               |SFP+-10G-LR         |45T012405417
BORM-IPB-P-RT-02_a.txt                    |xe-4/0/2      |Up       |SNSU-IPB_P-RT-02-xe-4/3/1_B11X03434     |SFP+-10G-LR         |45T012402981
BORM-IPB-P-RT-02_a.txt                    |xe-4/0/3      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/18            |SFP+-10G-SR         |ARG2UYC
BORM-IPB-P-RT-02_a.txt                    |xe-4/1/0      |Up       |SNSU-IPB_P-RT-02-Xe-5/0/1               |SFP+-10G-LR         |APS0526
BORM-IPB-P-RT-02_a.txt                    |xe-4/1/1      |Up       |SNSU-IPB_P-RT-03-xe-7/0/0_B11X05494     |SFP+-10G-LR         |AV90K8M
BORM-IPB-P-RT-02_a.txt                    |xe-4/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/18            |SFP+-10G-SR         |ARG1GMT
BORM-IPB-P-RT-02_a.txt                    |xe-4/1/3      |Up       |BORM-IPB_PE-RT-04-Te0/5/0/18            |SFP+-10G-SR         |ARG2PVL
BORM-IPB-P-RT-02_a.txt                    |xe-4/2/0      |Down     |BORM-IPB-IPTV-PROBE-L2SW-1G_prb         |SFP+-10G-SR         |ARG2PZ1
BORM-IPB-P-RT-02_a.txt                    |xe-4/2/1      |Up       |SNSU-IPB_P-RT-02-xe-9/3/0_B11X05506     |SFP+-10G-LR         |AV90KNU
BORM-IPB-P-RT-02_a.txt                    |xe-4/2/2      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/19            |SFP+-10G-SR         |ARG18GV
